Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1155731,-,-,-,-29.19,21.3,0,939,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,Clearsky GHI,Solar Zenith Angle,Precipitable Water,Clearsky DHI,DNI,Surface Albedo,Wind Direction,Wind Speed,Pressure,Relative Humidity,Clearsky DNI
2019,1,1,0,30,24.3,0,0,0,121.23,3.1,0,0,0.29,357,3.5,909,56.71,0
2019,1,1,1,30,23.8,0,0,0,113.38,3.2,0,0,0.29,353,3,910,60.68,0
2019,1,1,2,30,23.5,0,0,0,103.60000000000001,3.2,0,0,0.29,350,2.8000000000000003,910,63.730000000000004,0
2019,1,1,3,30,23.700000000000003,0,0,0,92.54,3.2,0,0,0.29,349,3.2,911,64.44,0
2019,1,1,4,30,25,48,121,121,80.57000000000001,3.2,48,445,0.29,344,4.1000000000000005,911,60.63,445
2019,1,1,5,30,27.1,79,342,342,68.18,3.2,79,709,0.29,335,4.6000000000000005,911,53.38,709
2019,1,1,6,30,29.5,95,573,573,55.4,3.2,95,841,0.29,329,4.4,911,44.980000000000004,841
2019,1,1,7,30,31.900000000000002,106,783,783,42.4,3.1,106,918,0.29,328,4,911,37.28,918
2019,1,1,8,30,34,111,950,950,29.330000000000002,3.1,111,963,0.29,330,3.5,910,31.400000000000002,963
2019,1,1,9,30,35.6,113,1063,1063,16.48,3,113,991,0.29,332,3.3000000000000003,909,27.490000000000002,991
2019,1,1,10,30,36.7,114,1107,1107,6.45,3,114,1000,0.29,331,3,909,24.830000000000002,1000
2019,1,1,11,30,37.4,111,1084,1084,13.15,2.9000000000000004,111,999,0.29,324,2.9000000000000004,908,22.89,999
2019,1,1,12,30,37.7,106,992,992,25.77,2.9000000000000004,106,984,0.29,313,2.7,907,21.54,984
2019,1,1,13,30,37.6,98,840,840,38.83,2.9000000000000004,98,952,0.29,299,2.7,906,20.82,952
2019,1,1,14,30,36.9,88,641,641,51.870000000000005,2.9000000000000004,88,895,0.29,284,2.7,906,20.95,895
2019,1,1,15,30,35.9,74,413,413,64.73,2.9000000000000004,74,795,0.29,267,3,906,21.57,795
2019,1,1,16,30,34.300000000000004,64,163,182,77.26,2.9000000000000004,51,452,0.29,248,2.8000000000000003,907,23.04,593
2019,1,1,17,30,32.7,0,0,0,89.05,2.9000000000000004,0,0,0.29,227,3.1,907,24.84,0
2019,1,1,18,30,31.5,0,0,0,100.71000000000001,2.8000000000000003,0,0,0.29,211,4.6000000000000005,908,25.650000000000002,0
2019,1,1,19,30,29.900000000000002,0,0,0,110.91,2.6,0,0,0.29,203,6.300000000000001,908,24.93,0
2019,1,1,20,30,27.700000000000003,0,0,0,119.38,2.3000000000000003,0,0,0.29,199,6.800000000000001,909,22.12,0
2019,1,1,21,30,25.700000000000003,0,0,0,125.31,2.1,0,0,0.29,197,6.4,908,19.13,0
2019,1,1,22,30,24.3,0,0,0,127.81,2,0,0,0.29,197,5.800000000000001,908,18.38,0
2019,1,1,23,30,23.6,0,0,0,126.4,2,0,0,0.29,197,5.6000000000000005,908,18.17,0
2019,1,2,0,30,22.1,0,0,0,121.36,1.9000000000000001,0,0,0.29,193,4.5,908,20.34,0
2019,1,2,1,30,21.3,0,0,0,113.51,1.9000000000000001,0,0,0.29,188,3.8000000000000003,908,23.66,0
2019,1,2,2,30,20.700000000000003,0,0,0,103.74000000000001,1.9000000000000001,0,0,0.29,182,3.2,909,28.43,0
2019,1,2,3,30,20.900000000000002,0,0,0,92.68,1.8,0,0,0.29,173,3.4000000000000004,910,32.89,0
2019,1,2,4,30,22.700000000000003,42,128,128,80.71000000000001,1.7000000000000002,42,529,0.29,155,3.8000000000000003,910,35.26,529
2019,1,2,5,30,25.5,67,363,363,68.32000000000001,1.5,67,800,0.29,144,3.5,911,35.95,800
2019,1,2,6,30,28.700000000000003,80,604,604,55.53,1.4000000000000001,80,926,0.29,171,2.6,910,29.88,926
2019,1,2,7,30,31.700000000000003,89,823,823,42.53,1.3,89,996,0.29,216,2.6,910,21.51,996
2019,1,2,8,30,33.9,95,999,999,29.46,1.2000000000000002,95,1038,0.29,240,3.4000000000000004,910,15.47,1038
2019,1,2,9,30,35.5,97,1116,1116,16.62,1.1,97,1063,0.29,246,4,909,11.76,1063
2019,1,2,10,30,36.5,98,1166,1166,6.57,1,98,1075,0.29,246,4.4,908,9.5,1075
2019,1,2,11,30,37.1,96,1145,1145,13.11,0.9,96,1077,0.29,243,4.7,908,8.1,1077
2019,1,2,12,30,37.2,91,1050,1050,25.7,0.9,91,1064,0.29,238,4.7,907,7.32,1064
2019,1,2,13,30,36.9,85,892,892,38.76,0.9,85,1036,0.29,232,4.6000000000000005,907,6.99,1036
2019,1,2,14,30,36.2,76,686,686,51.800000000000004,0.9,76,986,0.29,224,4.3,906,7.08,986
2019,1,2,15,30,34.9,64,448,448,64.66,0.9,64,897,0.29,216,3.9000000000000004,906,7.66,897
2019,1,2,16,30,31.900000000000002,45,202,202,77.2,1,45,711,0.29,207,2.5,907,9.35,711
2019,1,2,17,30,28.700000000000003,0,0,0,89,1.1,0,0,0.29,197,1.5,907,12.24,0
2019,1,2,18,30,27.200000000000003,0,0,0,100.68,1.2000000000000002,0,0,0.29,190,1.5,908,14.21,0
2019,1,2,19,30,26.3,0,0,0,110.9,1.3,0,0,0.29,185,1.7000000000000002,908,16.13,0
2019,1,2,20,30,25.400000000000002,0,0,0,119.4,1.4000000000000001,0,0,0.29,179,2.1,909,18.73,0
2019,1,2,21,30,24.5,0,0,0,125.36,1.5,0,0,0.29,163,3,909,22.57,0
2019,1,2,22,30,23.5,0,0,0,127.9,1.6,0,0,0.29,140,4.5,908,28.68,0
2019,1,2,23,30,22.900000000000002,0,0,0,126.51,1.7000000000000002,0,0,0.29,130,5.300000000000001,908,36.42,0
2019,1,3,0,30,21,0,0,0,121.49000000000001,1.7000000000000002,0,0,0.29,122,5.5,908,46.99,0
2019,1,3,1,30,20.200000000000003,0,0,0,113.65,1.7000000000000002,0,0,0.29,121,5.2,908,51.36,0
2019,1,3,2,30,19.6,0,0,0,103.88,1.7000000000000002,0,0,0.29,119,4.800000000000001,909,53.74,0
2019,1,3,3,30,19.8,0,0,0,92.82000000000001,1.7000000000000002,0,0,0.29,116,4.9,909,53.550000000000004,0
2019,1,3,4,30,21.6,39,129,129,80.84,1.7000000000000002,39,562,0.29,109,5.2,909,48.63,562
2019,1,3,5,30,24.8,62,362,362,68.45,1.6,62,817,0.29,100,4.6000000000000005,909,40.59,817
2019,1,3,6,30,28.900000000000002,75,601,601,55.67,1.6,75,931,0.29,86,2.7,909,30.61,931
2019,1,3,7,30,32.4,84,816,816,42.660000000000004,1.6,84,994,0.29,178,1.1,908,19.73,994
2019,1,3,8,30,34.6,91,987,987,29.59,1.6,91,1030,0.29,274,1.4000000000000001,908,14.81,1030
2019,1,3,9,30,36.2,94,1100,1100,16.76,1.6,94,1051,0.29,268,2.2,907,12.35,1051
2019,1,3,10,30,37.4,95,1146,1146,6.69,1.6,95,1058,0.29,266,2.9000000000000004,906,11.02,1058
2019,1,3,11,30,38.1,94,1122,1122,13.06,1.6,94,1055,0.29,261,3.5,906,10.34,1055
2019,1,3,12,30,38.300000000000004,88,1028,1028,25.63,1.6,88,1043,0.29,254,3.9000000000000004,905,10.08,1043
2019,1,3,13,30,38.1,82,874,874,38.68,1.6,82,1014,0.29,246,4.1000000000000005,905,10.040000000000001,1014
2019,1,3,14,30,37.300000000000004,73,671,671,51.730000000000004,1.6,73,965,0.29,237,4,905,10.290000000000001,965
2019,1,3,15,30,36,61,439,439,64.6,1.5,61,881,0.29,228,3.6,905,10.85,881
2019,1,3,16,30,33.300000000000004,43,199,199,77.15,1.5,43,702,0.29,216,2.3000000000000003,905,12.36,702
2019,1,3,17,30,30.3,10,14,14,88.97,1.5,10,190,0.29,198,1.3,906,14.75,190
