Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$
4,378230920.0618838,616266570.2885267
5,408549945.3181328,623954208.6380413
6,437164825.71938044,631641846.9875557
7,464044929.75984275,639329485.3370703
8,489594765.2472321,647017123.6865848
9,513703257.4071845,654704762.0360994
10,536121797.1385274,662392400.3856139
11,555326772.6713909,670080038.7351286
12,573048695.8637791,677767677.0846432
13,589187593.326311,685455315.4341577
14,604638929.1568724,693142953.7836723
15,612709475.4310771,700830592.1331868
16,618435857.7725868,708518230.4827014
17,621022056.2306288,716205868.832216
18,622635197.0865213,723893507.1817304
