Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$
4,513948346.849237,616266570.2885267
5,551774615.3471682,623954208.6380413
6,587542938.5292479,631641846.9875557
7,620296060.7679591,639329485.3370703
8,645508191.5541133,647017123.6865848
9,664262138.1723032,654704762.0360994
10,677876855.2309244,662392400.3856139
11,688044839.8165188,670080038.7351286
12,695546059.5066549,677767677.0846432
13,699522004.5149143,685455315.4341577
14,700853442.9341621,693142953.7836723
15,700820409.649559,700830592.1331868
16,700737040.0401567,708518230.4827014
17,700507637.6974101,716205868.832216
18,700301040.7541535,723893507.1817304
