Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$
4,367334107.17974454,616266570.2885267
5,391128292.83869064,623954208.6380413
6,411757453.6336398,631641846.9875557
7,430013114.1682666,639329485.3370703
8,445235483.48383117,647017123.6865848
9,456818388.7644999,654704762.0360994
10,465162952.9253849,662392400.3856139
11,470202346.97211397,670080038.7351286
12,474086951.2765419,677767677.0846432
13,474449515.97572905,685455315.4341577
14,474552592.85803413,693142953.7836723
15,474641242.45169234,700830592.1331868
16,474497292.23911375,708518230.4827014
17,474287558.3839416,716205868.832216
18,474079406.1911563,723893507.1817304
