Pais,Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Australia,4,378230920.0618838,616266570.2885267,1.6293394791406712
Australia,5,408549945.3181328,623954208.6380413,1.5272409549637211
Australia,6,437164825.71938044,631641846.9875557,1.4448597184097598
Australia,7,464044929.75984275,639329485.3370703,1.3777318624469028
Australia,8,489594765.2472321,647017123.6865848,1.3215360326817602
Australia,9,513703257.4071845,654704762.0360994,1.2744804565588939
Australia,10,536121797.1385274,662392400.3856139,1.235525964288409
Australia,11,555326772.6713909,670080038.7351286,1.2066409755678065
Australia,12,573048695.8637791,677767677.0846432,1.1827401091333383
Australia,13,589187593.326311,685455315.4341577,1.1633906131056813
Australia,14,604638929.1568724,693142953.7836723,1.1463750022682342
Australia,15,612709475.4310771,700830592.1331868,1.1438220237088896
Australia,16,618435857.7725868,708518230.4827014,1.1456616261459405
Australia,17,621022056.2306288,716205868.832216,1.1532696168302254
Australia,18,622635197.0865213,723893507.1817304,1.1626286316112937
