Pais,Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Chile,4,513948346.849237,616266570.2885267,1.1990826978363722
Chile,5,551774615.3471682,623954208.6380413,1.1308135446670715
Chile,6,587542938.5292479,631641846.9875557,1.0750564862011571
Chile,7,620296060.7679591,639329485.3370703,1.0306844195424147
Chile,8,645508191.5541133,647017123.6865848,1.0023375878915475
Chile,9,664262138.1723032,654704762.0360994,0.9856120414110903
Chile,10,677876855.2309244,662392400.3856139,0.9771574221396959
Chile,11,688044839.8165188,670080038.7351286,0.9738900722136353
Chile,12,695546059.5066549,677767677.0846432,0.9744396763104062
Chile,13,699522004.5149143,685455315.4341577,0.9798909984389824
Chile,14,700853442.9341621,693142953.7836723,0.9889984286611914
Chile,15,700820409.649559,700830592.1331868,1.000014529376553
Chile,16,700737040.0401567,708518230.4827014,1.0111042944755693
Chile,17,700507637.6974101,716205868.832216,1.0224097929701472
Chile,18,700301040.7541535,723893507.1817304,1.0336890352214387
