pais,fixed_operating_cost,lcoe_$/kwh,energia_kwh
Australia,25000.0000,0.0555,1649273.9827
Australia,30000.0000,0.0585,1649273.9827
Australia,35000.0000,0.0615,1649273.9827
Australia,40000.0000,0.0646,1649273.9827
Australia,45000.0000,0.0676,1649273.9827
Australia,50000.0000,0.0706,1649273.9827
Australia,55000.0000,0.0737,1649273.9827
Australia,60000.0000,0.0767,1649273.9827
Australia,65000.0000,0.0797,1649273.9827
Australia,70000.0000,0.0828,1649273.9827
Australia,75000.0000,0.0858,1649273.9827
Chile,25000.0000,0.0470,2025887.7693
Chile,30000.0000,0.0495,2025887.7693
Chile,35000.0000,0.0520,2025887.7693
Chile,40000.0000,0.0544,2025887.7693
Chile,45000.0000,0.0569,2025887.7693
Chile,50000.0000,0.0594,2025887.7693
Chile,55000.0000,0.0618,2025887.7693
Chile,60000.0000,0.0643,2025887.7693
Chile,65000.0000,0.0668,2025887.7693
Chile,70000.0000,0.0692,2025887.7693
Chile,75000.0000,0.0717,2025887.7693
Espana,25000.0000,0.0587,1539935.7504
Espana,30000.0000,0.0620,1539935.7504
Espana,35000.0000,0.0652,1539935.7504
Espana,40000.0000,0.0684,1539935.7504
Espana,45000.0000,0.0717,1539935.7504
Espana,50000.0000,0.0749,1539935.7504
Espana,55000.0000,0.0782,1539935.7504
Espana,60000.0000,0.0814,1539935.7504
Espana,65000.0000,0.0847,1539935.7504
Espana,70000.0000,0.0879,1539935.7504
Espana,75000.0000,0.0912,1539935.7504
