pais,fcr,lcoe_$/kwh,energia_kwh,costo_capital_$
Australia,0.0100,0.0464,1649273.9827,1000000
Australia,0.0200,0.0524,1649273.9827,1000000
Australia,0.0300,0.0585,1649273.9827,1000000
Australia,0.0400,0.0646,1649273.9827,1000000
Australia,0.0500,0.0706,1649273.9827,1000000
Australia,0.0600,0.0767,1649273.9827,1000000
Australia,0.0700,0.0828,1649273.9827,1000000
Australia,0.0800,0.0888,1649273.9827,1000000
Australia,0.0900,0.0949,1649273.9827,1000000
Australia,0.1000,0.1009,1649273.9827,1000000
Chile,0.0100,0.0396,2025887.7693,1000000
Chile,0.0200,0.0446,2025887.7693,1000000
Chile,0.0300,0.0495,2025887.7693,1000000
Chile,0.0400,0.0544,2025887.7693,1000000
Chile,0.0500,0.0594,2025887.7693,1000000
Chile,0.0600,0.0643,2025887.7693,1000000
Chile,0.0700,0.0692,2025887.7693,1000000
Chile,0.0800,0.0742,2025887.7693,1000000
Chile,0.0900,0.0791,2025887.7693,1000000
Chile,0.1000,0.0840,2025887.7693,1000000
Espana,0.0100,0.0490,1539935.7504,1000000
Espana,0.0200,0.0555,1539935.7504,1000000
Espana,0.0300,0.0620,1539935.7504,1000000
Espana,0.0400,0.0684,1539935.7504,1000000
Espana,0.0500,0.0749,1539935.7504,1000000
Espana,0.0600,0.0814,1539935.7504,1000000
Espana,0.0700,0.0879,1539935.7504,1000000
Espana,0.0800,0.0944,1539935.7504,1000000
Espana,0.0900,0.1009,1539935.7504,1000000
Espana,0.1000,0.1074,1539935.7504,1000000
