pais,dc_ac_ratio,energia_kwh
Australia,1.00,1648153.49
Australia,1.05,1648580.89
Australia,1.10,1648900.95
Australia,1.15,1649128.26
Australia,1.20,1649273.98
Australia,1.25,1649029.12
Australia,1.30,1646521.19
Australia,1.35,1640014.56
Australia,1.40,1629781.95
Australia,1.45,1616509.24
Australia,1.50,1601011.12
Australia,1.55,1584004.97
Australia,1.60,1566126.17
Australia,1.65,1547184.48
Australia,1.70,1527197.29
Australia,1.75,1506726.97
Australia,1.80,1486124.52
Australia,1.85,1465297.00
Australia,1.90,1444380.72
Australia,1.95,1423565.95
Australia,2.00,1402939.20
Chile,1.00,2025683.74
Chile,1.05,2025888.62
Chile,1.10,2025981.61
Chile,1.15,2025977.20
Chile,1.20,2025887.77
Chile,1.25,2025110.75
Chile,1.30,2019719.74
Chile,1.35,2007125.55
Chile,1.40,1987914.83
Chile,1.45,1963017.13
Chile,1.50,1934026.13
Chile,1.55,1903373.87
Chile,1.60,1871891.06
Chile,1.65,1840166.23
Chile,1.70,1808277.59
Chile,1.75,1776625.81
Chile,1.80,1744813.87
Chile,1.85,1713375.03
Chile,1.90,1682665.43
Chile,1.95,1652633.68
Chile,2.00,1623173.35
Espana,1.00,1538509.41
Espana,1.05,1539011.92
Espana,1.10,1539409.66
Espana,1.15,1539714.98
Espana,1.20,1539935.75
Espana,1.25,1540026.52
Espana,1.30,1539757.60
Espana,1.35,1538562.19
Espana,1.40,1535152.40
Espana,1.45,1528163.35
Espana,1.50,1517203.22
Espana,1.55,1503887.08
Espana,1.60,1488430.92
Espana,1.65,1471186.72
Espana,1.70,1452940.11
Espana,1.75,1434143.53
Espana,1.80,1415289.24
Espana,1.85,1396024.62
Espana,1.90,1376194.00
Espana,1.95,1356228.33
Espana,2.00,1336367.74
