Pais,Tasa_carga_fija,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Chile,0.0500,662563762.6252,688840788.1777,0.0735
Chile,0.0600,662563762.6252,688840788.1777,0.0839
Chile,0.0700,662563762.6252,688840788.1777,0.0943
Chile,0.0800,662563762.6252,688840788.1777,0.1047
Chile,0.0900,662563762.6252,688840788.1777,0.1151
Chile,0.1000,662563762.6252,688840788.1777,0.1255
Australia,0.0500,-12372447.5462,688840788.1777,-2.8446
Australia,0.0600,-12372447.5462,688840788.1777,-3.4013
Australia,0.0700,-12372447.5462,688840788.1777,-3.9581
Australia,0.0800,-12372447.5462,688840788.1777,-4.5149
Australia,0.0900,-12372447.5462,688840788.1777,-5.0716
Australia,0.1000,-12372447.5462,688840788.1777,-5.6284
Espana,0.0500,449676705.3844,688840788.1777,0.0988
Espana,0.0600,449676705.3844,688840788.1777,0.1141
Espana,0.0700,449676705.3844,688840788.1777,0.1295
Espana,0.0800,449676705.3844,688840788.1777,0.1448
Espana,0.0900,449676705.3844,688840788.1777,0.1601
Espana,0.1000,449676705.3844,688840788.1777,0.1754
