Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$
4,-8685802.053719223,627339681.3815681
5,-9210068.828352883,635027319.7310827
6,-9697451.322591107,642714958.0805973
7,-10166559.05192054,650402596.4301118
8,-10642868.14016923,658090234.7796264
9,-11085020.935416682,665777873.129141
10,-11508510.433789065,673465511.4786555
11,-11949395.564864032,681153149.8281701
12,-12372447.54615882,688840788.1776847
13,-12773888.946777146,696528426.5271991
14,-13173143.909407575,704216064.8767136
15,-13593929.98684893,711903703.2262282
16,-13982653.810546925,719591341.575743
17,-14360547.444824219,727278979.9252574
18,-14762572.834948676,734966618.274772
