Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$
4,533480452.0408806,616266570.2885267
5,572180375.8167379,623954208.6380413
6,610831970.6813719,631641846.9875557
7,648898395.4097301,639329485.3370703
8,686331876.0224209,647017123.6865848
9,723176175.7183354,654704762.0360994
10,757610219.2468044,662392400.3856139
11,788597782.1004692,670080038.7351286
12,815019702.3947912,677767677.0846432
13,838455703.2739462,685455315.4341577
14,846455766.3442241,693142953.7836723
15,848219954.3416549,700830592.1331868
16,849594287.6941772,708518230.4827014
17,850837011.6094317,716205868.832216
18,851891870.727876,723893507.1817304
