Pais,Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Australia,4,82078872.1763,627339681.3816,0.6436
Australia,5,81733026.4475,635027319.7311,0.6538
Australia,6,81373968.5830,642714958.0806,0.6642
Australia,7,81029084.0963,650402596.4301,0.6745
Australia,8,80673589.6003,658090234.7796,0.6850
Australia,9,80348524.4502,665777873.1291,0.6953
Australia,10,80035441.9029,673465511.4787,0.7057
Australia,11,79702782.1444,681153149.8282,0.7162
Australia,12,79382080.5560,688840788.1777,0.7268
Australia,13,79075087.5409,696528426.5272,0.7373
Australia,14,78767703.0661,704216064.8767,0.7479
Australia,15,78438312.1889,711903703.2262,0.7588
Australia,16,78136247.3130,719591341.5757,0.7696
Australia,17,77838949.1839,727278979.9253,0.7803
Australia,18,77517333.2219,734966618.2748,0.7914
Chile,4,504150166.2524,627339681.3816,0.1215
Chile,5,539546209.2838,635027319.7311,0.1160
Chile,6,572525792.3373,642714958.0806,0.1116
Chile,7,600170329.7261,650402596.4301,0.1084
Chile,8,620936728.0125,658090234.7796,0.1064
Chile,9,636361788.4852,665777873.1291,0.1053
Chile,10,648324815.1594,673465511.4787,0.1046
Chile,11,656492316.6184,681153149.8282,0.1045
Chile,12,662563762.6252,688840788.1777,0.1047
Chile,13,664302723.0476,696528426.5272,0.1054
Chile,14,664233153.2344,704216064.8767,0.1063
Chile,15,664049185.7817,711903703.2262,0.1073
Chile,16,663877527.6578,719591341.5757,0.1082
Chile,17,663711912.6604,727278979.9253,0.1092
Chile,18,663539465.3759,734966618.2748,0.1101
Espana,4,356064626.0042,627339681.3816,0.1638
Espana,5,377858826.2473,635027319.7311,0.1571
Espana,6,396948845.9614,642714958.0806,0.1521
Espana,7,413595522.2231,650402596.4301,0.1482
Espana,8,427227328.6818,658090234.7796,0.1456
Espana,9,437291702.1860,665777873.1291,0.1441
Espana,10,444078965.7114,673465511.4787,0.1436
Espana,11,448220472.3974,681153149.8282,0.1438
Espana,12,449676705.3844,688840788.1777,0.1448
Espana,13,449885484.3073,696528426.5272,0.1461
Espana,14,449642607.4018,704216064.8767,0.1475
Espana,15,449452643.0965,711903703.2262,0.1489
Espana,16,449279180.0471,719591341.5757,0.1504
Espana,17,449113958.4424,727278979.9253,0.1518
Espana,18,448933865.4794,734966618.2748,0.1532
