Pais,Multiplo_Solar,Horas_Almacenamiento_Fijas,FCR_Fijo,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Australia,1.5000,12,0.0800,64454124.7533,688840788.1777,0.8905
Australia,1.7500,12,0.0800,64715985.8200,688840788.1777,0.8870
Australia,2.0000,12,0.0800,62998014.7468,688840788.1777,0.9106
Australia,2.2500,12,0.0800,61220822.5892,688840788.1777,0.9365
Australia,2.5000,12,0.0800,59414014.7991,688840788.1777,0.9643
Australia,2.7500,12,0.0800,57727882.9281,688840788.1777,0.9919
Australia,3.0000,12,0.0800,54890290.0554,688840788.1777,1.0422
Australia,3.2500,12,0.0800,52625640.0855,688840788.1777,1.0862
Australia,3.5000,12,0.0800,50251736.3406,688840788.1777,1.1365
Chile,1.5000,12,0.0800,591496974.0713,688840788.1777,0.1149
Chile,1.7500,12,0.0800,646148024.9828,688840788.1777,0.1068
Chile,2.0000,12,0.0800,667266459.4370,688840788.1777,0.1041
Chile,2.2500,12,0.0800,665810424.4199,688840788.1777,0.1043
Chile,2.5000,12,0.0800,660164747.1381,688840788.1777,0.1050
Chile,2.7500,12,0.0800,655215571.3230,688840788.1777,0.1056
Chile,3.0000,12,0.0800,648734226.4555,688840788.1777,0.1065
Chile,3.2500,12,0.0800,642466442.5263,688840788.1777,0.1073
Chile,3.5000,12,0.0800,634593792.0913,688840788.1777,0.1084
Espana,1.5000,12,0.0800,409474656.4618,688840788.1777,0.1570
Espana,1.7500,12,0.0800,445652442.9005,688840788.1777,0.1459
Espana,2.0000,12,0.0800,455970383.6839,688840788.1777,0.1431
Espana,2.2500,12,0.0800,452241220.5632,688840788.1777,0.1441
Espana,2.5000,12,0.0800,447618776.6785,688840788.1777,0.1453
Espana,2.7500,12,0.0800,441891128.1072,688840788.1777,0.1470
Espana,3.0000,12,0.0800,436451574.9969,688840788.1777,0.1486
Espana,3.2500,12,0.0800,429851153.3153,688840788.1777,0.1505
Espana,3.5000,12,0.0800,421759177.8879,688840788.1777,0.1530
