Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1155731,-,-,-,-29.19,21.3,0,939,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,Clearsky GHI,Solar Zenith Angle,Precipitable Water,Clearsky DHI,DNI,Surface Albedo,Wind Direction,Wind Speed,Pressure,Relative Humidity,Clearsky DNI
2018,1,1,0,30,14.9,0,0,0,121.27,1.5,0,0,0.29,213,6.4,906,64.11,0
2018,1,1,1,30,14.200000000000001,0,0,0,113.42,1.5,0,0,0.29,210,5.9,907,66.25,0
2018,1,1,2,30,13.700000000000001,0,0,0,103.64,1.5,0,0,0.29,206,5.300000000000001,907,69.09,0
2018,1,1,3,30,13.9,0,0,0,92.58,1.3,0,0,0.29,202,5.2,908,70.29,0
2018,1,1,4,30,15.100000000000001,39,137,137,80.61,1.1,39,603,0.29,200,5.6000000000000005,908,66.65,603
2018,1,1,5,30,17,133,136,378,68.22,0.9,59,8,0.29,201,5.800000000000001,909,57.36,861
2018,1,1,6,30,19.3,271,366,622,55.44,0.9,70,167,0.29,205,5.9,909,45.62,973
2018,1,1,7,30,21.700000000000003,77,843,843,42.44,0.8,77,1037,0.29,210,5.9,908,34.980000000000004,1037
2018,1,1,8,30,24.1,82,1016,1016,29.36,0.8,82,1071,0.29,214,5.800000000000001,908,26.580000000000002,1071
2018,1,1,9,30,26.3,86,1135,1135,16.52,0.7000000000000001,86,1094,0.29,218,5.800000000000001,908,20.13,1094
2018,1,1,10,30,28.200000000000003,87,1181,1181,6.48,0.7000000000000001,87,1101,0.29,220,5.9,907,15.280000000000001,1101
2018,1,1,11,30,29.5,86,1161,1161,13.14,0.6000000000000001,86,1103,0.29,221,6,906,12.07,1103
2018,1,1,12,30,30.200000000000003,83,1064,1064,25.75,0.6000000000000001,83,1089,0.29,221,6.1000000000000005,906,10.25,1089
2018,1,1,13,30,30.3,78,900,900,38.81,0.7000000000000001,78,1056,0.29,220,6.2,906,9.73,1056
2018,1,1,14,30,29.6,70,692,692,51.85,0.7000000000000001,70,1007,0.29,219,6.300000000000001,905,10.1,1007
2018,1,1,15,30,28,60,450,450,64.71000000000001,0.8,60,913,0.29,217,6.4,906,11.620000000000001,913
2018,1,1,16,30,25.700000000000003,43,205,205,77.24,0.8,43,730,0.29,215,5.7,906,14.21,730
2018,1,1,17,30,23.3,0,0,0,89.03,0.9,0,0,0.29,212,5.1000000000000005,907,17.51,0
2018,1,1,18,30,21.6,0,0,0,100.7,0.9,0,0,0.29,210,4.7,908,20.3,0
2018,1,1,19,30,20.1,0,0,0,110.9,0.9,0,0,0.29,208,4.2,909,22.96,0
2018,1,1,20,30,18.8,0,0,0,119.38,0.9,0,0,0.29,206,3.7,909,25.6,0
2018,1,1,21,30,17.6,0,0,0,125.32000000000001,0.9,0,0,0.29,201,3.4000000000000004,909,28.47,0
2018,1,1,22,30,16.5,0,0,0,127.83,0.8,0,0,0.29,195,3.2,909,31.36,0
2018,1,1,23,30,16.1,0,0,0,126.43,0.8,0,0,0.29,191,3.1,909,32.61,0
2018,1,2,0,30,14.9,0,0,0,121.39,0.8,0,0,0.29,177,3.1,909,35.12,0
2018,1,2,1,30,14.3,0,0,0,113.55,0.9,0,0,0.29,162,3.1,909,35.910000000000004,0
2018,1,2,2,30,13.8,0,0,0,103.77,0.9,0,0,0.29,145,2.9000000000000004,910,36.32,0
2018,1,2,3,30,14.3,0,0,0,92.72,0.9,0,0,0.29,130,3.6,910,34.89,0
2018,1,2,4,30,16.6,42,135,135,80.74,0.9,42,576,0.29,116,4.9,911,31,576
2018,1,2,5,30,19.5,66,373,373,68.35000000000001,0.9,66,831,0.29,109,5.300000000000001,911,26.75,831
2018,1,2,6,30,22.400000000000002,81,616,616,55.57,0.9,81,946,0.29,114,4.6000000000000005,911,21.66,946
2018,1,2,7,30,25,91,835,835,42.57,0.9,91,1010,0.29,124,3.9000000000000004,911,17.42,1010
2018,1,2,8,30,27.200000000000003,98,1009,1009,29.490000000000002,0.9,98,1046,0.29,133,3.6,911,14.09,1046
2018,1,2,9,30,29.1,99,1124,1124,16.65,0.9,99,1070,0.29,139,3.3000000000000003,910,11.620000000000001,1070
2018,1,2,10,30,30.700000000000003,100,1170,1170,6.6000000000000005,0.9,100,1077,0.29,146,3,910,9.97,1077
2018,1,2,11,30,31.8,99,1145,1145,13.09,0.9,99,1074,0.29,154,2.9000000000000004,909,8.98,1074
2018,1,2,12,30,32.4,93,1050,1050,25.68,0.9,93,1062,0.29,163,2.9000000000000004,909,8.39,1062
2018,1,2,13,30,32.4,86,893,893,38.74,0.9,86,1034,0.29,169,3,908,8.120000000000001,1034
2018,1,2,14,30,31.900000000000002,77,689,689,51.78,0.8,77,989,0.29,171,3.1,908,8.09,989
2018,1,2,15,30,30.8,65,450,450,64.65,0.8,65,900,0.29,171,3,908,8.35,900
2018,1,2,16,30,27.900000000000002,46,205,205,77.18,0.8,46,715,0.29,173,2,909,9.77,715
2018,1,2,17,30,25,11,14,14,88.99,0.8,11,171,0.29,174,1.3,909,13.540000000000001,171
2018,1,2,18,30,23.900000000000002,0,0,0,100.67,0.8,0,0,0.29,175,1.3,909,13.98,0
2018,1,2,19,30,23.200000000000003,0,0,0,110.9,0.7000000000000001,0,0,0.29,176,1.3,910,14.24,0
2018,1,2,20,30,22.400000000000002,0,0,0,119.4,0.8,0,0,0.29,178,1.3,910,14.66,0
2018,1,2,21,30,21.3,0,0,0,125.37,0.8,0,0,0.29,178,1.4000000000000001,910,15.48,0
2018,1,2,22,30,19.8,0,0,0,127.92,0.8,0,0,0.29,172,1.5,910,16.93,0
2018,1,2,23,30,19,0,0,0,126.54,0.8,0,0,0.29,167,1.5,910,18.17,0
2018,1,3,0,30,17.8,0,0,0,121.52,0.8,0,0,0.29,134,2,910,20.490000000000002,0
2018,1,3,1,30,17.400000000000002,0,0,0,113.69,0.9,0,0,0.29,113,2.8000000000000003,910,22.64,0
2018,1,3,2,30,17.2,0,0,0,103.91,0.9,0,0,0.29,102,4,911,25.900000000000002,0
2018,1,3,3,30,17.900000000000002,0,0,0,92.86,1,0,0,0.29,98,5.1000000000000005,911,28.63,0
2018,1,3,4,30,20.400000000000002,38,132,132,80.88,1,38,598,0.29,95,5.800000000000001,912,26.3,598
2018,1,3,5,30,24.6,60,370,370,68.49,1,60,845,0.29,89,6.300000000000001,912,20.67,845
2018,1,3,6,30,28.700000000000003,73,615,615,55.7,0.9,73,961,0.29,80,6.2,912,15.25,961
2018,1,3,7,30,31.700000000000003,83,833,833,42.7,0.9,83,1020,0.29,73,5.300000000000001,912,11.51,1020
2018,1,3,8,30,33.800000000000004,91,1007,1007,29.62,0.9,91,1055,0.29,68,4.3,912,9.42,1055
2018,1,3,9,30,35.300000000000004,94,1122,1122,16.79,0.9,94,1074,0.29,63,3.6,911,8.13,1074
2018,1,3,10,30,36.5,96,1169,1169,6.72,0.9,96,1080,0.29,57,3,910,7.22,1080
2018,1,3,11,30,37.2,95,1144,1144,13.05,0.9,95,1077,0.29,50,2.4000000000000004,909,6.62,1077
2018,1,3,12,30,37.5,91,1050,1050,25.61,0.9,91,1064,0.29,43,1.9000000000000001,909,6.2700000000000005,1064
2018,1,3,13,30,37.4,85,893,893,38.67,0.9,85,1035,0.29,35,1.5,908,6.11,1035
2018,1,3,14,30,36.9,76,686,686,51.71,0.9,76,985,0.29,26,1.2000000000000002,908,6.140000000000001,985
2018,1,3,15,30,35.7,166,328,448,64.59,0.9,64,376,0.29,11,0.7000000000000001,908,6.47,896
2018,1,3,16,30,33.4,45,204,204,77.13,0.9,45,711,0.29,119,0.4,908,8.78,711
2018,1,3,17,30,30.8,11,14,14,88.96000000000001,0.9,11,178,0.29,218,0.6000000000000001,909,10.540000000000001,178
2018,1,3,18,30,28.8,0,0,0,100.65,0.9,0,0,0.29,184,0.9,909,11.46,0
2018,1,3,19,30,27.1,0,0,0,110.89,0.9,0,0,0.29,156,1.2000000000000002,910,12.950000000000001,0
2018,1,3,20,30,25.6,0,0,0,119.43,1,0,0,0.29,133,1.5,910,14.56,0
2018,1,3,21,30,24.200000000000003,0,0,0,125.43,1,0,0,0.29,116,1.7000000000000002,910,16.46,0
2018,1,3,22,30,23.1,0,0,0,128.01,1,0,0,0.29,103,1.8,910,18.07,0
2018,1,3,23,30,22.700000000000003,0,0,0,126.66,1,0,0,0.29,97,1.9000000000000001,910,18.830000000000002,0
2018,1,4,0,30,21.6,0,0,0,121.66,1,0,0,0.29,83,1.8,910,20.46,0
2018,1,4,1,30,21,0,0,0,113.83,1,0,0,0.29,73,1.7000000000000002,910,21.59,0
2018,1,4,2,30,20.200000000000003,0,0,0,104.06,1.1,0,0,0.29,61,1.7000000000000002,910,23.09,0
2018,1,4,3,30,21.200000000000003,0,0,0,93,1.1,0,0,0.29,46,2,911,22.330000000000002,0
2018,1,4,4,30,24.3,40,128,128,81.02,1.1,40,559,0.29,34,3,911,19.81,559
2018,1,4,5,30,28.400000000000002,66,363,363,68.62,1.1,66,814,0.29,21,3.8000000000000003,911,17.1,814
2018,1,4,6,30,32.800000000000004,82,602,602,55.84,1.2000000000000002,82,926,0.29,184,4,911,13.280000000000001,926
2018,1,4,7,30,35.7,94,817,817,42.83,1.3,94,985,0.29,350,4.2,911,10.3,985
