Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1504375,-,-,-,-26.11,27.5,0,1607,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,DHI,GHI,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Surface Albedo,Pressure,Relative Humidity,DNI,Clearsky DHI,Clearsky DNI
2018,1,1,0,30,15.100000000000001,0,0,0,120.78,0.9,220,2.4000000000000004,0.16,839,38.29,0,0,0
2018,1,1,1,30,14.4,0,0,0,111.62,0.9,210,2.3000000000000003,0.16,839,40.49,0,0,0
2018,1,1,2,30,14,0,0,0,100.85000000000001,0.9,201,2.2,0.16,840,42.050000000000004,0,0,0
2018,1,1,3,30,15.8,15,11,15,88.76,0.9,194,2.7,0.16,840,38.35,186,11,186
2018,1,1,4,30,19.5,214,46,214,76.55,0.9,189,3,0.16,841,29.78,724,46,724
2018,1,1,5,30,23.900000000000002,465,63,465,63.68,0.9,194,2.8000000000000003,0.16,841,23.88,906,63,906
2018,1,1,6,30,27.700000000000003,703,74,703,50.51,1,212,2.7,0.16,841,17.64,989,74,989
2018,1,1,7,30,29.8,908,81,908,37.15,1,237,2.6,0.16,841,15.69,1037,81,1037
2018,1,1,8,30,31.400000000000002,1061,87,1061,23.7,1,252,3.1,0.16,840,14.36,1063,87,1063
2018,1,1,9,30,32.6,1145,91,1145,10.370000000000001,1.1,255,3.6,0.16,840,13.370000000000001,1072,91,1072
2018,1,1,10,30,33.2,1161,93,1161,4.88,1.1,252,4,0.16,839,12.8,1072,93,1072
2018,1,1,11,30,33.4,1101,92,1101,17.64,1.2000000000000002,248,4.4,0.16,839,12.74,1058,92,1058
