Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5815755,-,-,-,-23.84,-69.89,0,735,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Relative Humidity,Surface Albedo,Wind Direction,Wind Speed,Pressure,Precipitable Water,Solar Zenith Angle,DHI,GHI,Clearsky DHI,AOD,Clearsky DNI,DNI
2018,1,1,0,0,18.8,0,61.7,0.27,279,3.2,919,1.5,96.89,0,0,0,0.092,0,0
2018,1,1,1,0,17.8,0,67.79,0.27,271,1.9000000000000001,920,1.6,108.43,0,0,0,0.105,0,0
2018,1,1,2,0,17.3,0,70.08,0.27,264,0.7000000000000001,920,1.6,118.68,0,0,0,0.11,0,0
2018,1,1,3,0,16.900000000000002,0,71.37,0.27,298,0.2,920,1.7000000000000002,126.9,0,0,0,0.117,0,0
2018,1,1,4,0,16.6,0,72,0.27,356,0.30000000000000004,920,1.7000000000000002,132.01,0,0,0,0.127,0,0
2018,1,1,5,0,16.3,0,73.19,0.27,339,0.5,920,1.8,132.98,0,0,0,0.137,0,0
2018,1,1,6,0,15.8,0,75.85000000000001,0.27,334,0.4,920,1.8,129.57,0,0,0,0.151,0,0
2018,1,1,7,0,15.4,0,77.66,0.27,91,0.30000000000000004,920,1.9000000000000001,122.56,0,0,0,0.165,0,0
2018,1,1,8,0,15.100000000000001,0,78.31,0.27,100,0.5,920,2,113.07000000000001,0,0,0,0.168,0,0
2018,1,1,9,0,14.9,0,77.78,0.27,99,0.8,920,2,102.02,0,0,0,0.161,0,0
2018,1,1,10,0,16.400000000000002,0,69.08,0.27,100,1.8,920,2,89.55,0,0,0,0.148,0,0
2018,1,1,11,0,19.900000000000002,180,55.65,0.27,66,2.1,921,2,77.24,69,180,69,0.135,500,500
2018,1,1,12,0,23.1,423,44.28,0.27,16,2.3000000000000003,921,2,64.19,100,423,100,0.126,740,740
2018,1,1,13,0,25.700000000000003,664,36.6,0.27,342,2.9000000000000004,920,1.9000000000000001,50.84,120,664,120,0.123,861,861
2018,1,1,14,0,27.8,870,31.27,0.27,321,3.5,920,1.9000000000000001,37.300000000000004,133,870,133,0.12,927,927
2018,1,1,15,0,29.400000000000002,1022,27.97,0.27,305,4.4,919,1.9000000000000001,23.650000000000002,150,1022,150,0.134,953,953
2018,1,1,16,0,30.200000000000003,1111,27.26,0.27,294,5.300000000000001,919,1.9000000000000001,9.950000000000001,157,1111,157,0.138,968,968
2018,1,1,17,0,30.3,1127,27.900000000000002,0.27,288,5.800000000000001,918,1.9000000000000001,3.95,158,1127,158,0.139,971,971
2018,1,1,18,0,30,1079,28.86,0.27,285,6,918,1.9000000000000001,17.62,121,1079,121,0.078,1006,1006
2018,1,1,19,0,29.3,954,30.19,0.27,282,6.1000000000000005,918,1.9000000000000001,31.3,112,954,112,0.073,985,985
2018,1,1,20,0,28.1,772,32.52,0.27,280,5.9,918,1.8,44.9,102,772,102,0.07,946,946
2018,1,1,21,0,26.400000000000002,544,36.37,0.27,278,5.6000000000000005,918,1.8,58.34,88,544,88,0.069,869,869
2018,1,1,22,0,24.200000000000003,297,42.38,0.27,277,5,918,1.7000000000000002,71.55,67,297,67,0.068,725,725
2018,1,1,23,0,21.5,69,52.25,0.27,276,4.3,919,1.7000000000000002,84.34,33,69,33,0.068,367,367
2018,1,2,0,0,19.400000000000002,0,62.980000000000004,0.27,271,3.7,919,1.7000000000000002,96.84,0,0,0,0.07200000000000001,0,0
2018,1,2,1,0,18.3,0,69.64,0.27,264,2.8000000000000003,920,1.7000000000000002,108.39,0,0,0,0.08700000000000001,0,0
2018,1,2,2,0,17.6,0,73.35000000000001,0.27,259,1.7000000000000002,921,1.8,118.67,0,0,0,0.095,0,0
2018,1,2,3,0,17.2,0,75.13,0.27,260,1.1,921,1.8,126.92,0,0,0,0.105,0,0
2018,1,2,4,0,16.8,0,76.81,0.27,266,0.8,920,1.9000000000000001,132.07,0,0,0,0.113,0,0
2018,1,2,5,0,16.5,0,77.93,0.27,299,0.30000000000000004,920,1.9000000000000001,133.07,0,0,0,0.11800000000000001,0,0
2018,1,2,6,0,16.2,0,79.22,0.27,40,0.30000000000000004,920,1.9000000000000001,129.69,0,0,0,0.121,0,0
2018,1,2,7,0,15.8,0,81.17,0.27,65,0.4,920,2,122.69,0,0,0,0.123,0,0
2018,1,2,8,0,15.700000000000001,0,81.34,0.27,93,0.4,920,2,113.21000000000001,0,0,0,0.122,0,0
2018,1,2,9,0,15.5,0,81.43,0.27,101,0.7000000000000001,920,2,102.16,0,0,0,0.11800000000000001,0,0
2018,1,2,10,0,16.5,0,74.95,0.27,102,1.6,920,2,89.67,0,0,0,0.113,0,0
2018,1,2,11,0,19.6,180,58.120000000000005,0.27,77,1.2000000000000002,921,2,77.37,63,180,63,0.106,537,537
2018,1,2,12,0,22.900000000000002,424,45.04,0.27,342,1.6,921,2,64.32000000000001,92,424,92,0.10300000000000001,765,765
2018,1,2,13,0,25.5,662,37.22,0.27,320,2.8000000000000003,920,2,50.96,113,662,113,0.106,873,873
2018,1,2,14,0,27.5,868,32.42,0.27,310,3.6,920,2,37.43,128,868,128,0.11,931,931
2018,1,2,15,0,28.900000000000002,1025,29.64,0.27,302,4.5,919,2,23.77,129,1025,129,0.096,978,978
2018,1,2,16,0,29.700000000000003,1114,28.34,0.27,296,5.300000000000001,919,2,10.06,135,1114,135,0.098,994,994
2018,1,2,17,0,29.8,1130,28.490000000000002,0.27,291,6.1000000000000005,919,2,3.87,138,1130,138,0.101,994,994
2018,1,2,18,0,29.3,1072,29.59,0.27,286,6.6000000000000005,918,2,17.52,137,1072,137,0.105,981,981
2018,1,2,19,0,28.3,946,31.470000000000002,0.27,282,6.6000000000000005,918,2,31.21,131,946,131,0.106,953,953
2018,1,2,20,0,26.900000000000002,762,34.19,0.27,278,6.4,918,2,44.81,119,762,119,0.10400000000000001,906,906
2018,1,2,21,0,25.3,537,37.63,0.27,275,5.9,918,1.9000000000000001,58.26,102,537,102,0.10200000000000001,826,826
2018,1,2,22,0,23.400000000000002,290,42.410000000000004,0.27,272,5.2,918,1.9000000000000001,71.48,77,290,77,0.099,671,671
2018,1,2,23,0,21.1,67,50.21,0.27,270,4.3,919,1.9000000000000001,84.28,36,67,36,0.096,309,309
2018,1,3,0,0,19.400000000000002,0,58.39,0.27,267,3.2,920,1.9000000000000001,96.79,0,0,0,0.096,0,0
2018,1,3,1,0,18.400000000000002,0,63.85,0.27,264,1.7000000000000002,920,1.9000000000000001,108.36,0,0,0,0.096,0,0
2018,1,3,2,0,17.900000000000002,0,66.5,0.27,270,0.6000000000000001,920,1.8,118.67,0,0,0,0.093,0,0
2018,1,3,3,0,17.5,0,68.2,0.27,23,0.4,920,1.8,126.95,0,0,0,0.09,0,0
2018,1,3,4,0,16.900000000000002,0,70.3,0.27,47,0.7000000000000001,920,1.8,132.13,0,0,0,0.08600000000000001,0,0
2018,1,3,5,0,16.7,0,70.08,0.27,55,0.8,919,1.8,133.18,0,0,0,0.083,0,0
2018,1,3,6,0,16.8,0,68.56,0.27,60,0.6000000000000001,919,1.7000000000000002,129.82,0,0,0,0.082,0,0
2018,1,3,7,0,16.8,0,67.94,0.27,65,0.4,919,1.7000000000000002,122.83,0,0,0,0.082,0,0
