Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00001,S1,NA,Chile,-23.84,-69.89,-4,735
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2018,1,1,0,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,1,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,2,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,3,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,4,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,5,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,6,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,7,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,8,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,9,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,10,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,11,0,180,500,69,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,12,0,423,740,100,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,13,0,664,861,120,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,14,0,870,927,133,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,15,0,1022,953,150,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,16,0,1111,968,157,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,17,0,1127,971,158,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,18,0,1079,1006,121,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,19,0,954,985,112,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,20,0,772,946,102,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,21,0,544,869,88,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,22,0,297,725,67,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,23,0,69,367,33,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,0,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,1,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,2,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,3,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,4,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,5,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,6,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,7,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,8,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,9,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,10,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,11,0,180,537,63,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,12,0,424,765,92,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,13,0,662,873,113,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,14,0,868,931,128,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,15,0,1025,978,129,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,16,0,1114,994,135,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,17,0,1130,994,138,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,18,0,1072,981,137,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,19,0,946,953,131,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,20,0,762,906,119,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,21,0,537,826,102,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,22,0,290,671,77,25.0,15.0,50.0,1013.25,3.0,180.0,0
