Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-23.84,-69.89,-4,735
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2019,1,1,0,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,1,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,2,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,3,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,4,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,5,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,6,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,7,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,8,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,9,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,10,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,11,0,1,77,77,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,12,0,288,366,241,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,13,0,195,523,400,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,14,0,854,851,172,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,15,0,880,1001,195,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,16,0,890,1085,209,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,17,0,885,1099,216,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,18,0,589,973,412,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,19,0,532,817,362,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,20,0,355,632,381,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,21,0,539,462,179,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,22,0,151,239,191,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,1,23,0,3,48,48,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,0,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,1,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,2,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,3,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,4,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,5,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,6,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,7,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,8,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,9,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,10,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,11,0,284,157,95,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,12,0,546,388,151,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,13,0,697,621,181,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,14,0,785,823,200,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,15,0,836,976,211,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,16,0,860,1064,218,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,17,0,863,1082,221,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,18,0,849,1026,217,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,19,0,505,807,376,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,20,0,652,638,175,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,21,0,655,502,157,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,22,0,20,151,144,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,2,23,0,0,44,44,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,0,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,1,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,2,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,3,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,4,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,5,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,6,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,7,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,8,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2019,1,3,9,0,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
