Latitude,44.73
Longitude,87.66
Time Zone,8
Elevation,0
Year,Month,Day,Hour,Minute,DNI,GHI,DHI,Temperature,Wind Speed,Pressure,Relative Humidity
2018,1,1,0,30,0,0,0,-12.8,2.0,980,80.25
2018,1,1,1,30,0,0,0,-12.700000000000001,1.9000000000000001,981,78.68
2018,1,1,2,30,81,42,34,-11.8,1.8,981,73.34
2018,1,1,3,30,237,134,81,-9.9,1.8,981,68.03
2018,1,1,4,30,372,226,109,-8.200000000000001,1.9000000000000001,981,64.24
2018,1,1,5,30,658,324,81,-7.4,2.0,981,60.980000000000004
2018,1,1,6,30,770,399,109,-7.2,2.0,981,59.97
2018,1,1,7,30,715,309,64,-7.2,2.1,981,59.43
2018,1,1,8,30,1,94,94,-7.7,1.8,981,61.800000000000004
2018,1,1,9,30,0,43,43,-9.0,1.6,981,68.5
2018,1,1,10,30,0,0,0,-10.600000000000001,1.8,981,65.7
2018,1,1,11,30,0,0,0,-11.8,1.9000000000000001,982,64.84
2018,1,1,12,30,0,0,0,-12.5,1.7000000000000002,982,65.17
2018,1,1,13,30,0,0,0,-13.100000000000001,1.5,983,67.3
2018,1,1,14,30,0,0,0,-13.600000000000001,1.4000000000000001,983,70.16
2018,1,1,15,30,0,0,0,-14.100000000000001,1.4000000000000001,983,73.43
2018,1,1,16,30,0,0,0,-14.5,1.4000000000000001,982,76.24
2018,1,1,17,30,0,0,0,-14.9,1.4000000000000001,982,78.82000000000001
2018,1,1,18,30,0,0,0,-15.3,1.4000000000000001,982,81.19
2018,1,1,19,30,0,0,0,-15.5,1.4000000000000001,982,82.47
2018,1,1,20,30,0,0,0,-15.600000000000001,1.3,982,83.5
2018,1,1,21,30,0,0,0,-15.700000000000001,1.3,982,85.08
2018,1,1,22,30,0,0,0,-15.8,1.4000000000000001,982,86.49
2018,1,1,23,30,0,0,0,-15.8,1.5,982,85.8
2018,1,2,0,30,0,0,0,-15.9,1.6,983,84.95
2018,1,2,1,30,0,0,0,-15.5,1.6,983,81.49
2018,1,2,2,30,0,27,27,-14.3,1.5,983,75.75
2018,1,2,3,30,503,201,89,-12.3,1.5,983,71.2
2018,1,2,4,30,387,229,107,-10.4,1.5,983,69.26
2018,1,2,5,30,623,319,89,-9.200000000000001,1.5,982,65.91
2018,1,2,6,30,723,397,122,-8.6,1.4000000000000001,982,63.88
2018,1,2,7,30,69,166,142,-8.3,1.2000000000000002,981,62.46
2018,1,2,8,30,259,170,100,-8.700000000000001,0.9,981,65.29
2018,1,2,9,30,127,77,57,-10.0,0.7000000000000001,981,69.04
2018,1,2,10,30,52,13,12,-11.5,0.5,981,69.06
2018,1,2,11,30,0,0,0,-12.600000000000001,0.5,981,72.86
2018,1,2,12,30,0,0,0,-13.4,0.5,981,77.07000000000001
2018,1,2,13,30,0,0,0,-14.100000000000001,0.8,981,81.4
2018,1,2,14,30,0,0,0,-14.9,1.3,980,84.93
2018,1,2,15,30,0,0,0,-15.5,1.6,980,86.72
2018,1,2,16,30,0,0,0,-15.9,1.8,979,86.72
2018,1,2,17,30,0,0,0,-16.1,1.8,978,85.17
2018,1,2,18,30,0,0,0,-16.2,1.7000000000000002,978,83.43
2018,1,2,19,30,0,0,0,-16.2,1.6,977,81.12
2018,1,2,20,30,0,0,0,-15.9,1.5,977,78.01
2018,1,2,21,30,0,0,0,-15.700000000000001,1.4000000000000001,976,76.5
