Latitude,-29.19
Longitude,21.3
Time Zone,2
Elevation,0
Year,Month,Day,Hour,Minute,DNI,GHI,DHI,Temperature,Wind Speed,Pressure,Relative Humidity
2018,1,1,0,30,0,0,0,14.9,6.4,906,64.11
2018,1,1,1,30,0,0,0,14.200000000000001,5.9,907,66.25
2018,1,1,2,30,0,0,0,13.700000000000001,5.300000000000001,907,69.09
2018,1,1,3,30,0,0,0,13.9,5.2,908,70.29
2018,1,1,4,30,603,137,39,15.100000000000001,5.6000000000000005,908,66.65
2018,1,1,5,30,8,136,133,17.0,5.800000000000001,909,57.36
2018,1,1,6,30,167,366,271,19.3,5.9,909,45.62
2018,1,1,7,30,1037,843,77,21.700000000000003,5.9,908,34.980000000000004
2018,1,1,8,30,1071,1016,82,24.1,5.800000000000001,908,26.580000000000002
2018,1,1,9,30,1094,1135,86,26.3,5.800000000000001,908,20.13
2018,1,1,10,30,1101,1181,87,28.200000000000003,5.9,907,15.280000000000001
2018,1,1,11,30,1103,1161,86,29.5,6.0,906,12.07
2018,1,1,12,30,1089,1064,83,30.200000000000003,6.1000000000000005,906,10.25
2018,1,1,13,30,1056,900,78,30.3,6.2,906,9.73
2018,1,1,14,30,1007,692,70,29.6,6.300000000000001,905,10.1
2018,1,1,15,30,913,450,60,28.0,6.4,906,11.620000000000001
2018,1,1,16,30,730,205,43,25.700000000000003,5.7,906,14.21
2018,1,1,17,30,0,0,0,23.3,5.1000000000000005,907,17.51
2018,1,1,18,30,0,0,0,21.6,4.7,908,20.3
2018,1,1,19,30,0,0,0,20.1,4.2,909,22.96
2018,1,1,20,30,0,0,0,18.8,3.7,909,25.6
2018,1,1,21,30,0,0,0,17.6,3.4000000000000004,909,28.47
2018,1,1,22,30,0,0,0,16.5,3.2,909,31.36
2018,1,1,23,30,0,0,0,16.1,3.1,909,32.61
2018,1,2,0,30,0,0,0,14.9,3.1,909,35.12
2018,1,2,1,30,0,0,0,14.3,3.1,909,35.910000000000004
2018,1,2,2,30,0,0,0,13.8,2.9000000000000004,910,36.32
2018,1,2,3,30,0,0,0,14.3,3.6,910,34.89
2018,1,2,4,30,576,135,42,16.6,4.9,911,31.0
2018,1,2,5,30,831,373,66,19.5,5.300000000000001,911,26.75
2018,1,2,6,30,946,616,81,22.400000000000002,4.6000000000000005,911,21.66
2018,1,2,7,30,1010,835,91,25.0,3.9000000000000004,911,17.42
2018,1,2,8,30,1046,1009,98,27.200000000000003,3.6,911,14.09
2018,1,2,9,30,1070,1124,99,29.1,3.3000000000000003,910,11.620000000000001
2018,1,2,10,30,1077,1170,100,30.700000000000003,3.0,910,9.97
2018,1,2,11,30,1074,1145,99,31.8,2.9000000000000004,909,8.98
2018,1,2,12,30,1062,1050,93,32.4,2.9000000000000004,909,8.39
2018,1,2,13,30,1034,893,86,32.4,3.0,908,8.120000000000001
2018,1,2,14,30,989,689,77,31.900000000000002,3.1,908,8.09
2018,1,2,15,30,900,450,65,30.8,3.0,908,8.35
2018,1,2,16,30,715,205,46,27.900000000000002,2.0,909,9.77
2018,1,2,17,30,171,14,11,25.0,1.3,909,13.540000000000001
2018,1,2,18,30,0,0,0,23.900000000000002,1.3,909,13.98
2018,1,2,19,30,0,0,0,23.200000000000003,1.3,910,14.24
2018,1,2,20,30,0,0,0,22.400000000000002,1.3,910,14.66
2018,1,2,21,30,0,0,0,21.3,1.4000000000000001,910,15.48
2018,1,2,22,30,0,0,0,19.8,1.5,910,16.93
2018,1,2,23,30,0,0,0,19.0,1.5,910,18.17
2018,1,3,0,30,0,0,0,17.8,2.0,910,20.490000000000002
2018,1,3,1,30,0,0,0,17.400000000000002,2.8000000000000003,910,22.64
2018,1,3,2,30,0,0,0,17.2,4.0,911,25.900000000000002
2018,1,3,3,30,0,0,0,17.900000000000002,5.1000000000000005,911,28.63
2018,1,3,4,30,598,132,38,20.400000000000002,5.800000000000001,912,26.3
2018,1,3,5,30,845,370,60,24.6,6.300000000000001,912,20.67
2018,1,3,6,30,961,615,73,28.700000000000003,6.2,912,15.25
2018,1,3,7,30,1020,833,83,31.700000000000003,5.300000000000001,912,11.51
2018,1,3,8,30,1055,1007,91,33.800000000000004,4.3,912,9.42
2018,1,3,9,30,1074,1122,94,35.300000000000004,3.6,911,8.13
2018,1,3,10,30,1080,1169,96,36.5,3.0,910,7.22
2018,1,3,11,30,1077,1144,95,37.2,2.4000000000000004,909,6.62
2018,1,3,12,30,1064,1050,91,37.5,1.9000000000000001,909,6.2700000000000005
2018,1,3,13,30,1035,893,85,37.4,1.5,908,6.11
2018,1,3,14,30,985,686,76,36.9,1.2000000000000002,908,6.140000000000001
2018,1,3,15,30,376,328,166,35.7,0.7000000000000001,908,6.47
2018,1,3,16,30,711,204,45,33.4,0.4,908,8.78
2018,1,3,17,30,178,14,11,30.8,0.6000000000000001,909,10.540000000000001
2018,1,3,18,30,0,0,0,28.8,0.9,909,11.46
2018,1,3,19,30,0,0,0,27.1,1.2000000000000002,910,12.950000000000001
2018,1,3,20,30,0,0,0,25.6,1.5,910,14.56
2018,1,3,21,30,0,0,0,24.200000000000003,1.7000000000000002,910,16.46
2018,1,3,22,30,0,0,0,23.1,1.8,910,18.07
2018,1,3,23,30,0,0,0,22.700000000000003,1.9000000000000001,910,18.830000000000002
2018,1,4,0,30,0,0,0,21.6,1.8,910,20.46
2018,1,4,1,30,0,0,0,21.0,1.7000000000000002,910,21.59
2018,1,4,2,30,0,0,0,20.200000000000003,1.7000000000000002,910,23.09
2018,1,4,3,30,0,0,0,21.200000000000003,2.0,911,22.330000000000002
2018,1,4,4,30,559,128,40,24.3,3.0,911,19.81
2018,1,4,5,30,814,363,66,28.400000000000002,3.8000000000000003,911,17.1
2018,1,4,6,30,926,602,82,32.800000000000004,4.0,911,13.280000000000001
2018,1,4,7,30,985,817,94,35.7,4.2,911,10.3
2018,1,4,8,30,1020,989,103,37.300000000000004,4.6000000000000005,911,9.6
2018,1,4,9,30,1035,1098,108,38.5,4.800000000000001,910,9.82
2018,1,4,10,30,1038,1142,111,39.400000000000006,4.9,909,10.21
2018,1,4,11,30,1026,1111,112,39.800000000000004,4.800000000000001,909,10.65
2018,1,4,12,30,1005,1016,109,39.900000000000006,4.6000000000000005,908,10.99
2018,1,4,13,30,969,859,102,39.7,4.3,907,11.32
2018,1,4,14,30,406,516,264,38.900000000000006,4.0,907,11.9
2018,1,4,15,30,810,426,78,37.6,3.4000000000000004,907,12.620000000000001
2018,1,4,16,30,606,190,55,34.5,2.1,907,14.66
2018,1,4,17,30,106,13,11,31.3,1.3,908,18.16
2018,1,4,18,30,0,0,0,29.700000000000003,1.4000000000000001,908,19.35
2018,1,4,19,30,0,0,0,28.400000000000002,1.4000000000000001,908,20.47
2018,1,4,20,30,0,0,0,27.0,1.5,909,21.82
2018,1,4,21,30,0,0,0,25.5,1.5,909,22.79
2018,1,4,22,30,0,0,0,24.0,1.4000000000000001,909,23.02
2018,1,4,23,30,0,0,0,23.3,1.2000000000000002,909,21.990000000000002
2018,1,5,0,30,0,0,0,22.6,0.6000000000000001,909,21.44
2018,1,5,1,30,0,0,0,22.3,0.6000000000000001,909,21.16
2018,1,5,2,30,0,0,0,21.400000000000002,1.0,909,22.86
2018,1,5,3,30,0,0,0,21.900000000000002,1.5,909,23.93
2018,1,5,4,30,416,110,47,24.5,2.4000000000000004,909,22.98
2018,1,5,5,30,701,335,81,28.6,3.3000000000000003,910,19.73
2018,1,5,6,30,844,573,101,32.7,4.0,909,15.97
2018,1,5,7,30,923,788,112,35.4,4.4,909,14.33
2018,1,5,8,30,974,963,118,37.300000000000004,4.6000000000000005,908,13.290000000000001
2018,1,5,9,30,1003,1078,119,38.7,4.6000000000000005,908,12.48
2018,1,5,10,30,1018,1129,119,39.7,4.5,907,11.77
2018,1,5,11,30,1017,1107,116,40.300000000000004,4.3,906,11.11
2018,1,5,12,30,1006,1018,110,40.400000000000006,4.1000000000000005,905,10.540000000000001
2018,1,5,13,30,976,866,103,40.0,4.0,904,10.040000000000001
2018,1,5,14,30,923,666,92,39.2,3.8000000000000003,904,9.700000000000001
2018,1,5,15,30,827,433,77,37.800000000000004,3.4000000000000004,904,9.68
2018,1,5,16,30,629,194,53,34.4,2.3000000000000003,904,10.96
2018,1,5,17,30,109,13,11,31.0,1.9000000000000001,904,13.81
2018,1,5,18,30,0,0,0,29.5,3.0,905,13.84
2018,1,5,19,30,0,0,0,28.200000000000003,4.2,906,13.85
2018,1,5,20,30,0,0,0,26.6,4.4,906,14.950000000000001
2018,1,5,21,30,0,0,0,24.900000000000002,3.9000000000000004,906,16.86
2018,1,5,22,30,0,0,0,23.6,3.6,906,18.52
2018,1,5,23,30,0,0,0,22.900000000000002,3.5,906,19.53
2018,1,6,0,30,0,0,0,21.200000000000003,3.0,905,21.830000000000002
2018,1,6,1,30,0,0,0,20.1,2.6,905,23.51
2018,1,6,2,30,0,0,0,19.1,2.0,905,25.13
2018,1,6,3,30,0,0,0,19.5,2.0,906,24.73
2018,1,6,4,30,524,121,41,21.8,1.8,906,21.54
2018,1,6,5,30,802,356,67,25.5,0.8,906,17.59
2018,1,6,6,30,925,599,83,30.6,1.6,906,13.19
2018,1,6,7,30,990,818,95,34.5,3.5,906,7.51
2018,1,6,8,30,1023,990,104,36.5,4.5,906,6.38
2018,1,6,9,30,1042,1106,111,37.9,5.2,905,5.99
2018,1,6,10,30,1045,1150,113,38.900000000000006,5.6000000000000005,905,5.73
2018,1,6,11,30,1041,1128,113,39.5,5.9,904,5.54
2018,1,6,12,30,1028,1036,107,39.7,6.1000000000000005,903,5.41
2018,1,6,13,30,1003,884,99,39.400000000000006,6.2,903,5.38
2018,1,6,14,30,261,459,297,38.6,6.2,902,5.57
2018,1,6,15,30,862,443,71,37.1,5.6000000000000005,903,6.08
2018,1,6,16,30,674,201,50,33.800000000000004,3.8000000000000003,903,7.43
2018,1,6,17,30,148,14,11,30.3,2.7,903,9.81
2018,1,6,18,30,0,0,0,28.5,2.9000000000000004,904,11.34
2018,1,6,19,30,0,0,0,27.200000000000003,3.4000000000000004,905,13.51
2018,1,6,20,30,0,0,0,25.900000000000002,3.6,905,17.54
2018,1,6,21,30,0,0,0,24.6,3.7,905,23.63
2018,1,6,22,30,0,0,0,23.5,3.8000000000000003,905,30.42
2018,1,6,23,30,0,0,0,23.0,3.8000000000000003,904,35.6
2018,1,7,0,30,0,0,0,21.400000000000002,3.6,904,42.730000000000004
2018,1,7,1,30,0,0,0,20.400000000000002,3.2,904,48.160000000000004
2018,1,7,2,30,0,0,0,19.5,2.7,905,52.86
2018,1,7,3,30,0,0,0,19.700000000000003,2.9000000000000004,905,53.410000000000004
2018,1,7,4,30,510,116,40,21.700000000000003,3.4000000000000004,906,47.870000000000005
2018,1,7,5,30,780,346,67,25.200000000000003,3.1,906,38.03
2018,1,7,6,30,899,583,84,28.900000000000002,2.9000000000000004,906,27.400000000000002
2018,1,7,7,30,965,799,96,32.1,3.5,906,18.54
2018,1,7,8,30,1002,970,104,34.5,4.4,906,13.16
2018,1,7,9,30,1025,1085,107,36.2,5.1000000000000005,905,10.78
2018,1,7,10,30,1033,1134,108,37.300000000000004,5.7,905,9.92
2018,1,7,11,30,1028,1109,107,38.0,6.1000000000000005,904,9.55
2018,1,7,12,30,445,824,422,38.2,6.6000000000000005,903,9.450000000000001
2018,1,7,13,30,981,865,96,37.7,7.300000000000001,903,9.81
2018,1,7,14,30,90,352,296,36.4,8.3,903,11.01
2018,1,7,15,30,272,302,184,34.1,9.1,904,13.69
2018,1,7,16,30,49,98,87,30.900000000000002,8.700000000000001,905,18.69
2018,1,7,17,30,68,13,11,28.3,7.2,905,24.69
2018,1,7,18,30,0,0,0,26.900000000000002,5.6000000000000005,906,28.310000000000002
2018,1,7,19,30,0,0,0,26.0,4.4,906,29.560000000000002
2018,1,7,20,30,0,0,0,24.6,4.1000000000000005,906,31.970000000000002
2018,1,7,21,30,0,0,0,23.3,4.5,906,35.21
2018,1,7,22,30,0,0,0,22.1,5.1000000000000005,906,39.68
2018,1,7,23,30,0,0,0,21.400000000000002,5.2,906,44.04
2018,1,8,0,30,0,0,0,19.6,4.800000000000001,907,51.96
2018,1,8,1,30,0,0,0,18.6,4.4,907,57.56
2018,1,8,2,30,0,0,0,17.8,4.0,908,62.74
2018,1,8,3,30,0,0,0,17.6,3.8000000000000003,908,65.73
2018,1,8,4,30,80,66,54,18.5,4.0,909,64.5
2018,1,8,5,30,222,227,148,20.1,4.0,909,59.870000000000005
2018,1,8,6,30,348,432,239,22.200000000000003,3.9000000000000004,909,52.85
2018,1,8,7,30,429,627,315,24.8,3.7,909,43.89
2018,1,8,8,30,1006,972,104,27.5,3.7,909,34.22
2018,1,8,9,30,1037,1092,104,29.8,4.0,908,25.68
2018,1,8,10,30,1050,1145,103,31.5,4.5,908,20.31
2018,1,8,11,30,446,933,499,32.5,5.0,907,16.94
2018,1,8,12,30,1046,1041,96,33.1,5.300000000000001,907,14.3
2018,1,8,13,30,1027,893,88,33.1,5.4,906,12.24
2018,1,8,14,30,988,694,78,32.5,5.4,906,10.63
2018,1,8,15,30,906,458,66,31.200000000000003,5.300000000000001,906,9.53
2018,1,8,16,30,727,212,48,28.5,4.5,907,9.39
2018,1,8,17,30,187,15,12,25.700000000000003,4.1000000000000005,908,10.32
2018,1,8,18,30,0,0,0,24.1,4.9,908,11.28
2018,1,8,19,30,0,0,0,22.8,5.4,909,13.74
2018,1,8,20,30,0,0,0,21.400000000000002,5.300000000000001,910,17.96
2018,1,8,21,30,0,0,0,19.900000000000002,4.800000000000001,909,21.96
2018,1,8,22,30,0,0,0,18.5,4.4,909,24.47
2018,1,8,23,30,0,0,0,17.8,4.3,909,24.990000000000002
2018,1,9,0,30,0,0,0,16.400000000000002,4.1000000000000005,909,26.86
2018,1,9,1,30,0,0,0,15.700000000000001,3.7,909,28.44
2018,1,9,2,30,0,0,0,15.200000000000001,3.4000000000000004,910,30.57
2018,1,9,3,30,0,0,0,15.700000000000001,4.0,910,31.8
2018,1,9,4,30,559,119,39,17.7,5.4,911,31.470000000000002
2018,1,9,5,30,832,358,64,20.5,5.9,911,30.11
2018,1,9,6,30,947,602,80,23.6,5.2,911,24.57
2018,1,9,7,30,1012,824,90,26.8,4.2,911,18.76
2018,1,9,8,30,1051,1003,97,29.6,3.4000000000000004,911,13.73
2018,1,9,9,30,1077,1123,97,31.700000000000003,3.0,910,10.64
2018,1,9,10,30,1081,1169,97,33.1,3.1,910,8.97
2018,1,9,11,30,1078,1147,96,34.0,3.3000000000000003,909,8.0
2018,1,9,12,30,1063,1051,90,34.4,3.6,908,7.44
2018,1,9,13,30,1035,896,84,34.2,3.9000000000000004,908,7.22
2018,1,9,14,30,988,691,75,33.5,4.0,907,7.21
2018,1,9,15,30,902,454,63,32.1,3.9000000000000004,908,7.53
2018,1,9,16,30,725,209,45,29.0,2.7,908,8.78
2018,1,9,17,30,207,16,12,25.6,1.7000000000000002,909,11.71
2018,1,9,18,30,0,0,0,24.1,1.8,909,12.59
2018,1,9,19,30,0,0,0,23.0,1.9000000000000001,909,13.13
2018,1,9,20,30,0,0,0,22.1,2.3000000000000003,909,13.73
2018,1,9,21,30,0,0,0,21.5,2.9000000000000004,909,14.49
2018,1,9,22,30,0,0,0,20.900000000000002,3.7,909,15.84
2018,1,9,23,30,0,0,0,20.700000000000003,4.2,909,17.62
2018,1,10,0,30,0,0,0,19.400000000000002,4.4,909,21.53
2018,1,10,1,30,0,0,0,18.7,4.5,910,24.89
2018,1,10,2,30,0,0,0,18.0,4.5,910,28.28
2018,1,10,3,30,0,0,0,18.1,5.0,910,30.32
2018,1,10,4,30,581,116,34,20.1,5.800000000000001,911,28.830000000000002
2018,1,10,5,30,841,351,56,23.700000000000003,6.2,911,25.03
2018,1,10,6,30,953,594,71,27.8,5.7,911,19.04
2018,1,10,7,30,1018,817,81,31.400000000000002,4.6000000000000005,911,12.120000000000001
2018,1,10,8,30,1052,994,89,33.6,3.5,910,9.16
2018,1,10,9,30,1071,1113,93,35.300000000000004,2.8000000000000003,909,7.79
2018,1,10,10,30,1074,1159,95,36.5,2.2,909,7.08
2018,1,10,11,30,1069,1138,96,37.300000000000004,1.6,908,6.75
2018,1,10,12,30,1053,1046,94,37.7,1.0,907,6.69
2018,1,10,13,30,1018,888,89,37.6,0.5,907,6.88
2018,1,10,14,30,961,681,81,37.0,0.30000000000000004,906,7.24
2018,1,10,15,30,866,445,69,35.9,0.5,906,7.8
2018,1,10,16,30,673,202,49,33.300000000000004,0.8,906,10.05
2018,1,10,17,30,148,14,11,30.3,1.1,907,12.24
2018,1,10,18,30,0,0,0,28.400000000000002,1.4000000000000001,907,12.72
2018,1,10,19,30,0,0,0,27.0,1.5,908,13.24
2018,1,10,20,30,0,0,0,25.8,1.6,908,13.91
2018,1,10,21,30,0,0,0,24.8,1.7000000000000002,908,14.92
2018,1,10,22,30,0,0,0,23.900000000000002,1.6,908,16.28
2018,1,10,23,30,0,0,0,23.5,1.6,908,17.240000000000002
2018,1,11,0,30,0,0,0,22.400000000000002,1.5,907,18.68
2018,1,11,1,30,0,0,0,21.700000000000003,1.8,907,19.28
2018,1,11,2,30,0,0,0,21.6,3.1,908,19.27
2018,1,11,3,30,0,0,0,22.6,5.1000000000000005,909,22.59
2018,1,11,4,30,525,109,36,25.200000000000003,7.300000000000001,910,29.53
2018,1,11,5,30,788,337,63,28.5,8.8,910,33.910000000000004
2018,1,11,6,30,907,576,80,31.6,9.0,910,31.27
2018,1,11,7,30,969,792,92,34.1,8.4,910,25.91
2018,1,11,8,30,1007,966,101,36.2,7.7,909,21.52
2018,1,11,9,30,1030,1082,102,37.7,6.9,909,18.25
2018,1,11,10,30,1037,1132,105,38.800000000000004,6.1000000000000005,908,15.68
2018,1,11,11,30,1033,1111,105,39.400000000000006,5.300000000000001,908,13.92
2018,1,11,12,30,1021,1024,101,39.6,4.5,907,12.57
2018,1,11,13,30,991,872,94,39.400000000000006,3.7,907,11.47
2018,1,11,14,30,292,476,293,38.7,3.1,906,10.69
2018,1,11,15,30,857,442,70,37.4,2.4000000000000004,906,10.28
2018,1,11,16,30,675,202,49,34.4,1.5,907,11.39
2018,1,11,17,30,157,15,11,31.700000000000003,1.1,907,13.15
2018,1,11,18,30,0,0,0,30.400000000000002,1.2000000000000002,907,12.73
2018,1,11,19,30,0,0,0,28.700000000000003,1.5,908,13.09
2018,1,11,20,30,0,0,0,26.700000000000003,2.0,908,14.59
2018,1,11,21,30,0,0,0,24.700000000000003,2.1,908,17.51
2018,1,11,22,30,0,0,0,23.200000000000003,1.9000000000000001,909,20.990000000000002
2018,1,11,23,30,0,0,0,22.5,1.8,909,22.79
2018,1,12,0,30,0,0,0,21.1,1.4000000000000001,909,24.810000000000002
2018,1,12,1,30,0,0,0,20.5,1.2000000000000002,909,25.71
2018,1,12,2,30,0,0,0,19.900000000000002,1.2000000000000002,909,27.580000000000002
2018,1,12,3,30,0,0,0,21.0,2.0,910,28.97
2018,1,12,4,30,511,106,37,24.1,3.5,910,29.560000000000002
2018,1,12,5,30,796,338,63,28.1,4.7,910,28.22
2018,1,12,6,30,921,581,79,32.2,4.9,910,23.76
2018,1,12,7,30,985,799,90,35.300000000000004,4.3,910,18.04
2018,1,12,8,30,1020,973,98,37.4,3.6,909,14.280000000000001
2018,1,12,9,30,1036,1088,104,38.800000000000004,3.0,909,12.14
2018,1,12,10,30,1040,1136,106,39.7,2.6,908,10.96
2018,1,12,11,30,1036,1116,106,40.2,2.2,907,10.33
2018,1,12,12,30,1018,1024,102,40.300000000000004,1.8,907,10.06
2018,1,12,13,30,987,871,96,40.0,1.7000000000000002,906,10.05
2018,1,12,14,30,933,670,87,39.300000000000004,1.6,906,10.27
2018,1,12,15,30,836,436,73,38.1,1.5,906,10.68
2018,1,12,16,30,643,198,52,35.800000000000004,1.0,907,12.120000000000001
2018,1,12,17,30,121,14,11,33.6,0.6000000000000001,907,14.290000000000001
2018,1,12,18,30,0,0,0,32.5,0.6000000000000001,907,14.620000000000001
2018,1,12,19,30,0,0,0,31.3,0.8,907,15.3
2018,1,12,20,30,0,0,0,29.6,1.4000000000000001,907,16.75
2018,1,12,21,30,0,0,0,27.8,2.1,907,18.78
2018,1,12,22,30,0,0,0,26.5,2.8000000000000003,907,20.990000000000002
2018,1,12,23,30,0,0,0,25.900000000000002,3.1,907,22.990000000000002
2018,1,13,0,30,0,0,0,24.1,2.6,907,27.66
2018,1,13,1,30,0,0,0,23.200000000000003,1.8,907,31.51
2018,1,13,2,30,0,0,0,22.5,1.2000000000000002,907,34.86
2018,1,13,3,30,0,0,0,23.0,0.8,908,35.43
2018,1,13,4,30,247,82,49,25.3,1.1,908,32.03
2018,1,13,5,30,556,297,106,28.8,2.2,908,27.02
2018,1,13,6,30,734,534,135,32.7,3.4000000000000004,908,21.66
2018,1,13,7,30,837,753,152,35.800000000000004,3.9000000000000004,908,16.94
2018,1,13,8,30,895,931,164,38.0,3.9000000000000004,908,13.71
2018,1,13,9,30,989,1069,130,39.5,3.7,907,11.86
2018,1,13,10,30,993,1118,136,40.6,3.6,906,10.72
2018,1,13,11,30,981,1096,140,41.1,3.5,906,10.19
2018,1,13,12,30,939,1000,150,41.300000000000004,3.5,905,9.98
2018,1,13,13,30,893,847,146,41.0,3.4000000000000004,905,10.120000000000001
2018,1,13,14,30,816,643,133,40.2,3.3000000000000003,904,10.540000000000001
2018,1,13,15,30,688,410,111,38.800000000000004,3.0,904,11.36
2018,1,13,16,30,454,178,75,35.9,2.2,904,13.61
