Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,Solar Zenith Angle,Precipitable Water,DNI,Surface Albedo,Wind Direction,Wind Speed,Pressure,Relative Humidity,Location_ID,Latitude,Longitude
2018,1,1,0,30,14.9,0,0,121.27,1.5,0,0.29,213,6.4,906,64.11,Sudáfrica,-29.19,21.3
2018,1,1,1,30,14.200000000000001,0,0,113.42,1.5,0,0.29,210,5.9,907,66.25,Sudáfrica,-29.19,21.3
2018,1,1,2,30,13.700000000000001,0,0,103.64,1.5,0,0.29,206,5.300000000000001,907,69.09,Sudáfrica,-29.19,21.3
2018,1,1,3,30,13.9,0,0,92.58,1.3,0,0.29,202,5.2,908,70.29,Sudáfrica,-29.19,21.3
2018,1,1,4,30,15.100000000000001,39,137,80.61,1.1,603,0.29,200,5.6000000000000005,908,66.65,Sudáfrica,-29.19,21.3
2018,1,1,5,30,17.0,133,136,68.22,0.9,8,0.29,201,5.800000000000001,909,57.36,Sudáfrica,-29.19,21.3
2018,1,1,6,30,19.3,271,366,55.44,0.9,167,0.29,205,5.9,909,45.62,Sudáfrica,-29.19,21.3
2018,1,1,7,30,21.700000000000003,77,843,42.44,0.8,1037,0.29,210,5.9,908,34.980000000000004,Sudáfrica,-29.19,21.3
2018,1,1,8,30,24.1,82,1016,29.36,0.8,1071,0.29,214,5.800000000000001,908,26.580000000000002,Sudáfrica,-29.19,21.3
2018,1,1,9,30,26.3,86,1135,16.52,0.7000000000000001,1094,0.29,218,5.800000000000001,908,20.13,Sudáfrica,-29.19,21.3
2018,1,1,10,30,28.200000000000003,87,1181,6.48,0.7000000000000001,1101,0.29,220,5.9,907,15.280000000000001,Sudáfrica,-29.19,21.3
2018,1,1,11,30,29.5,86,1161,13.14,0.6000000000000001,1103,0.29,221,6.0,906,12.07,Sudáfrica,-29.19,21.3
2018,1,1,12,30,30.200000000000003,83,1064,25.75,0.6000000000000001,1089,0.29,221,6.1000000000000005,906,10.25,Sudáfrica,-29.19,21.3
2018,1,1,13,30,30.3,78,900,38.81,0.7000000000000001,1056,0.29,220,6.2,906,9.73,Sudáfrica,-29.19,21.3
2018,1,1,14,30,29.6,70,692,51.85,0.7000000000000001,1007,0.29,219,6.300000000000001,905,10.1,Sudáfrica,-29.19,21.3
2018,1,1,15,30,28.0,60,450,64.71000000000001,0.8,913,0.29,217,6.4,906,11.620000000000001,Sudáfrica,-29.19,21.3
2018,1,1,16,30,25.700000000000003,43,205,77.24,0.8,730,0.29,215,5.7,906,14.21,Sudáfrica,-29.19,21.3
2018,1,1,17,30,23.3,0,0,89.03,0.9,0,0.29,212,5.1000000000000005,907,17.51,Sudáfrica,-29.19,21.3
2018,1,1,18,30,21.6,0,0,100.7,0.9,0,0.29,210,4.7,908,20.3,Sudáfrica,-29.19,21.3
2018,1,1,19,30,20.1,0,0,110.9,0.9,0,0.29,208,4.2,909,22.96,Sudáfrica,-29.19,21.3
2018,1,1,20,30,18.8,0,0,119.38,0.9,0,0.29,206,3.7,909,25.6,Sudáfrica,-29.19,21.3
2018,1,1,21,30,17.6,0,0,125.32000000000001,0.9,0,0.29,201,3.4000000000000004,909,28.47,Sudáfrica,-29.19,21.3
2018,1,1,22,30,16.5,0,0,127.83,0.8,0,0.29,195,3.2,909,31.36,Sudáfrica,-29.19,21.3
2018,1,1,23,30,16.1,0,0,126.43,0.8,0,0.29,191,3.1,909,32.61,Sudáfrica,-29.19,21.3
2018,1,2,0,30,14.9,0,0,121.39,0.8,0,0.29,177,3.1,909,35.12,Sudáfrica,-29.19,21.3
2018,1,2,1,30,14.3,0,0,113.55,0.9,0,0.29,162,3.1,909,35.910000000000004,Sudáfrica,-29.19,21.3
2018,1,2,2,30,13.8,0,0,103.77,0.9,0,0.29,145,2.9000000000000004,910,36.32,Sudáfrica,-29.19,21.3
2018,1,2,3,30,14.3,0,0,92.72,0.9,0,0.29,130,3.6,910,34.89,Sudáfrica,-29.19,21.3
2018,1,2,4,30,16.6,42,135,80.74,0.9,576,0.29,116,4.9,911,31.0,Sudáfrica,-29.19,21.3
2018,1,2,5,30,19.5,66,373,68.35000000000001,0.9,831,0.29,109,5.300000000000001,911,26.75,Sudáfrica,-29.19,21.3
2018,1,2,6,30,22.400000000000002,81,616,55.57,0.9,946,0.29,114,4.6000000000000005,911,21.66,Sudáfrica,-29.19,21.3
2018,1,2,7,30,25.0,91,835,42.57,0.9,1010,0.29,124,3.9000000000000004,911,17.42,Sudáfrica,-29.19,21.3
2018,1,2,8,30,27.200000000000003,98,1009,29.490000000000002,0.9,1046,0.29,133,3.6,911,14.09,Sudáfrica,-29.19,21.3
2018,1,2,9,30,29.1,99,1124,16.65,0.9,1070,0.29,139,3.3000000000000003,910,11.620000000000001,Sudáfrica,-29.19,21.3
2018,1,2,10,30,30.700000000000003,100,1170,6.6000000000000005,0.9,1077,0.29,146,3.0,910,9.97,Sudáfrica,-29.19,21.3
2018,1,2,11,30,31.8,99,1145,13.09,0.9,1074,0.29,154,2.9000000000000004,909,8.98,Sudáfrica,-29.19,21.3
2018,1,2,12,30,32.4,93,1050,25.68,0.9,1062,0.29,163,2.9000000000000004,909,8.39,Sudáfrica,-29.19,21.3
2018,1,2,13,30,32.4,86,893,38.74,0.9,1034,0.29,169,3.0,908,8.120000000000001,Sudáfrica,-29.19,21.3
2018,1,2,14,30,31.900000000000002,77,689,51.78,0.8,989,0.29,171,3.1,908,8.09,Sudáfrica,-29.19,21.3
2018,1,2,15,30,30.8,65,450,64.65,0.8,900,0.29,171,3.0,908,8.35,Sudáfrica,-29.19,21.3
2018,1,2,16,30,27.900000000000002,46,205,77.18,0.8,715,0.29,173,2.0,909,9.77,Sudáfrica,-29.19,21.3
2018,1,2,17,30,25.0,11,14,88.99,0.8,171,0.29,174,1.3,909,13.540000000000001,Sudáfrica,-29.19,21.3
2018,1,2,18,30,23.900000000000002,0,0,100.67,0.8,0,0.29,175,1.3,909,13.98,Sudáfrica,-29.19,21.3
2018,1,2,19,30,23.200000000000003,0,0,110.9,0.7000000000000001,0,0.29,176,1.3,910,14.24,Sudáfrica,-29.19,21.3
2018,1,2,20,30,22.400000000000002,0,0,119.4,0.8,0,0.29,178,1.3,910,14.66,Sudáfrica,-29.19,21.3
2018,1,2,21,30,21.3,0,0,125.37,0.8,0,0.29,178,1.4000000000000001,910,15.48,Sudáfrica,-29.19,21.3
2018,1,2,22,30,19.8,0,0,127.92,0.8,0,0.29,172,1.5,910,16.93,Sudáfrica,-29.19,21.3
2018,1,2,23,30,19.0,0,0,126.54,0.8,0,0.29,167,1.5,910,18.17,Sudáfrica,-29.19,21.3
2018,1,3,0,30,17.8,0,0,121.52,0.8,0,0.29,134,2.0,910,20.490000000000002,Sudáfrica,-29.19,21.3
2018,1,3,1,30,17.400000000000002,0,0,113.69,0.9,0,0.29,113,2.8000000000000003,910,22.64,Sudáfrica,-29.19,21.3
2018,1,3,2,30,17.2,0,0,103.91,0.9,0,0.29,102,4.0,911,25.900000000000002,Sudáfrica,-29.19,21.3
2018,1,3,3,30,17.900000000000002,0,0,92.86,1.0,0,0.29,98,5.1000000000000005,911,28.63,Sudáfrica,-29.19,21.3
2018,1,3,4,30,20.400000000000002,38,132,80.88,1.0,598,0.29,95,5.800000000000001,912,26.3,Sudáfrica,-29.19,21.3
2018,1,3,5,30,24.6,60,370,68.49,1.0,845,0.29,89,6.300000000000001,912,20.67,Sudáfrica,-29.19,21.3
2018,1,3,6,30,28.700000000000003,73,615,55.7,0.9,961,0.29,80,6.2,912,15.25,Sudáfrica,-29.19,21.3
2018,1,3,7,30,31.700000000000003,83,833,42.7,0.9,1020,0.29,73,5.300000000000001,912,11.51,Sudáfrica,-29.19,21.3
2018,1,3,8,30,33.800000000000004,91,1007,29.62,0.9,1055,0.29,68,4.3,912,9.42,Sudáfrica,-29.19,21.3
