Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00003,S1,NA,South Africa,-29.19,21.3,2,0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2018,1,1,0,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,1,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,2,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,3,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,4,30,137,603,39,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,5,30,136,8,133,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,6,30,366,167,271,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,7,30,843,1037,77,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,8,30,1016,1071,82,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,9,30,1135,1094,86,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,10,30,1181,1101,87,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,11,30,1161,1103,86,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,12,30,1064,1089,83,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,13,30,900,1056,78,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,14,30,692,1007,70,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,15,30,450,913,60,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,16,30,205,730,43,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,17,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,18,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,19,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,20,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,21,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,22,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,1,23,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,0,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,1,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,2,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,3,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,4,30,135,576,42,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,5,30,373,831,66,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,6,30,616,946,81,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,7,30,835,1010,91,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,8,30,1009,1046,98,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,9,30,1124,1070,99,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,10,30,1170,1077,100,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,11,30,1145,1074,99,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,12,30,1050,1062,93,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,13,30,893,1034,86,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,14,30,689,989,77,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,15,30,450,900,65,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,16,30,205,715,46,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,17,30,14,171,11,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,18,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,19,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,20,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,21,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,22,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,2,23,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,0,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,1,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,2,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,3,30,0,0,0,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,4,30,132,598,38,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,5,30,370,845,60,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,6,30,615,961,73,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,7,30,833,1020,83,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,8,30,1007,1055,91,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,9,30,1122,1074,94,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,10,30,1169,1080,96,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,11,30,1144,1077,95,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,12,30,1050,1064,91,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,13,30,893,1035,85,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,14,30,686,985,76,25.0,15.0,50.0,1013.25,3.0,180.0,0
2018,1,3,15,30,328,376,166,25.0,15.0,50.0,1013.25,3.0,180.0,0
